dashboard_experience,power_bi_experience,confidence,sample,line,user_id,answer_correct,no_of_steps,question_id,timestamp,selected_values,filtered_values,triggered_action,multiplicity,x,y
1,0,2,False,5,e2690841-7dea-4852-993e-c322d16165a4,False,4,5,1656496872311,Year.Year<categorical>,nan,Root,46,-2.4362123,1.7142982
1,0,2,False,5,e2690841-7dea-4852-993e-c322d16165a4,False,4,5,1656496882840,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: East selected,5,-3.358408,1.436305
1,0,2,False,5,e2690841-7dea-4852-993e-c322d16165a4,False,4,5,1656496886999,"NewHiresByEthnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group B selected,1,-3.3547704,1.34745
1,0,2,False,5,e2690841-7dea-4852-993e-c322d16165a4,False,4,5,1656496895197,"NewHiresByEthnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Year (slicer) - Year: 2012 selected,1,3.2109258,-4.1255474
0,-1,-1,False,6,0c6a2d5a-587b-4daf-84d8-2866f240a7a7,False,3,5,1656742463999,Year.Year<categorical>,nan,Root,46,-2.4362123,1.7142982
0,-1,-1,False,6,0c6a2d5a-587b-4daf-84d8-2866f240a7a7,False,3,5,1656742470367,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Ethnicity (slicer) - Ethnicity: Group B selected,15,-2.8073056,2.5374317
0,-1,-1,False,6,0c6a2d5a-587b-4daf-84d8-2866f240a7a7,False,3,5,1656742472594,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Region (slicer) - Region: East selected,8,-3.0112965,2.5064187
1,1,3,False,7,98eff29b-1cce-47e3-b04d-329cb24da1fe,True,11,5,1657783806557,Year.Year<categorical>,nan,Root,46,-2.4362123,1.7142982
1,1,3,False,7,98eff29b-1cce-47e3-b04d-329cb24da1fe,True,11,5,1657783811201,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",nan,Ethnicity (slicer) - Ethnicity: Group B selected,12,-2.4715364,1.809167
1,1,3,False,7,98eff29b-1cce-47e3-b04d-329cb24da1fe,True,11,5,1657783814077,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Region (slicer) - Region: East selected,8,-3.0112965,2.5064187
1,1,3,False,7,98eff29b-1cce-47e3-b04d-329cb24da1fe,True,11,5,1657783822793,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Year (slicer) - Year: 2012 selected,19,3.6560452,-5.280955
1,1,3,False,7,98eff29b-1cce-47e3-b04d-329cb24da1fe,True,11,5,1657783871245,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Feb selected,2,8.347113,-4.240582
1,1,3,False,7,98eff29b-1cce-47e3-b04d-329cb24da1fe,True,11,5,1657783872820,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - deselected,19,3.6560452,-5.280955
1,1,3,False,7,98eff29b-1cce-47e3-b04d-329cb24da1fe,True,11,5,1657783875082,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan selected,4,8.182564,-4.001934
1,1,3,False,7,98eff29b-1cce-47e3-b04d-329cb24da1fe,True,11,5,1657783875719,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Feb selected,2,8.347113,-4.240582
1,1,3,False,7,98eff29b-1cce-47e3-b04d-329cb24da1fe,True,11,5,1657783877833,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan selected,4,8.182564,-4.001934
1,1,3,False,7,98eff29b-1cce-47e3-b04d-329cb24da1fe,True,11,5,1657783878889,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - deselected,19,3.6560452,-5.280955
1,1,3,False,7,98eff29b-1cce-47e3-b04d-329cb24da1fe,True,11,5,1657783924795,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>","New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr, May, Jun, Jan, Mar, Jun selected",7,6.985155,-4.2475615
1,0,3,False,8,64d49517-fd06-487e-9b98-e504d669fcfe,False,11,5,1657146513168,Year.Year<categorical>,nan,Root,46,-2.4362123,1.7142982
1,0,3,False,8,64d49517-fd06-487e-9b98-e504d669fcfe,False,11,5,1657146536227,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",nan,Ethnicity (slicer) - Ethnicity: Group B selected,12,-2.4715364,1.809167
1,0,3,False,8,64d49517-fd06-487e-9b98-e504d669fcfe,False,11,5,1657146537648,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,Year (slicer) - Year: 2012 selected,12,4.539396,-4.8230295
1,0,3,False,8,64d49517-fd06-487e-9b98-e504d669fcfe,False,11,5,1657146544962,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Feb selected,2,8.123546,-5.568048
1,0,3,False,8,64d49517-fd06-487e-9b98-e504d669fcfe,False,11,5,1657146546447,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Mar selected,1,8.087015,-5.7816663
1,0,3,False,8,64d49517-fd06-487e-9b98-e504d669fcfe,False,11,5,1657146547482,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Feb selected,2,8.123546,-5.568048
1,0,3,False,8,64d49517-fd06-487e-9b98-e504d669fcfe,False,11,5,1657146555232,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - deselected,12,4.539396,-4.8230295
1,0,3,False,8,64d49517-fd06-487e-9b98-e504d669fcfe,False,11,5,1657146560201,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>","New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr, May, Jun, Jan, Feb, Mar, Apr, May, Jun selected",5,6.7988873,-5.490002
1,0,3,False,8,64d49517-fd06-487e-9b98-e504d669fcfe,False,11,5,1657146573379,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>","New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov selected",1,6.0351715,-6.094275
1,0,3,False,8,64d49517-fd06-487e-9b98-e504d669fcfe,False,11,5,1657146577518,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>,New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - deselected,12,4.539396,-4.8230295
1,0,3,False,8,64d49517-fd06-487e-9b98-e504d669fcfe,False,11,5,1657146580066,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>","New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr, May, Jun, Jan, Feb, Mar, Apr, May, Jun selected",5,6.7988873,-5.490002
1,1,4,False,9,c7311241-45af-4f18-9032-4241221f8a11,False,3,5,1656427538548,Year.Year<categorical>,nan,Root,46,-2.4362123,1.7142982
1,1,4,False,9,c7311241-45af-4f18-9032-4241221f8a11,False,3,5,1656427545777,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>,Region (slicer) - Region: East selected,5,-3.358408,1.436305
1,1,4,False,9,c7311241-45af-4f18-9032-4241221f8a11,False,3,5,1656427551740,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Ethnicity (slicer) - Ethnicity: Group B selected,15,-3.9349875,2.4526303
1,1,3,False,10,9c820154-95c6-4cc1-a024-afd5b5ddcb1c,True,13,5,1656683044896,Year.Year<categorical>,nan,Root,46,-2.4362123,1.7142982
1,1,3,False,10,9c820154-95c6-4cc1-a024-afd5b5ddcb1c,True,13,5,1656683055536,nan,nan,Year (slicer) - deselected,2,1.6839582,-2.1226304
1,1,3,False,10,9c820154-95c6-4cc1-a024-afd5b5ddcb1c,True,13,5,1656683056184,Year.Year<categorical>,nan,Year (slicer) - Year: 2012 selected,11,4.0284047,-3.8019812
1,1,3,False,10,9c820154-95c6-4cc1-a024-afd5b5ddcb1c,True,13,5,1656683078753,"NewHiresByEthnicity.Ethnicity<categorical>, Year.Year<categorical>",nan,New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group B selected,1,3.9431558,-3.6772077
1,1,3,False,10,9c820154-95c6-4cc1-a024-afd5b5ddcb1c,True,13,5,1656683097797,Year.Year<categorical>,nan,New Hires by Ethnicity (clusteredBarChart) - deselected,11,4.0284047,-3.8019812
1,1,3,False,10,9c820154-95c6-4cc1-a024-afd5b5ddcb1c,True,13,5,1656683100438,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",nan,Ethnicity (slicer) - Ethnicity: Group B selected,1,4.1528172,-3.9709568
1,1,3,False,10,9c820154-95c6-4cc1-a024-afd5b5ddcb1c,True,13,5,1656683110428,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",Region (slicer) - Region: East selected,19,3.6560452,-5.280955
1,1,3,False,10,9c820154-95c6-4cc1-a024-afd5b5ddcb1c,True,13,5,1656683117817,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>",New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan selected,4,8.182564,-4.001934
1,1,3,False,10,9c820154-95c6-4cc1-a024-afd5b5ddcb1c,True,13,5,1656683119062,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>","New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb selected",2,8.050221,-4.0976543
