x,y,line,multiplicity,timestamp,answer_correct,running_time,triggeredAction,selectedValues,filteredValues
0.4063321650028229,0.9434049129486084,10,11,1656742735272,True,65428,Year (slicer) - Year: 2012 selected,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>
0.6224104166030884,0.06176123395562172,10,15,1656742738191,True,65428,Region (slicer) - Region: East selected,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.9203562140464783,0.37448030710220337,11,39,1656742411311,False,55220,Root,Year.Year<categorical>,nan
0.8604043126106262,0.46975553035736084,11,8,1656742421418,False,55220,Year (slicer) - Year: 2012 selected,Year.Year<categorical>,nan
0.8399403095245361,0.4595353603363037,11,1,1656742426714,False,55220,Region (slicer) - Region: East selected,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByEthnicity.Ethnicity<categorical>
0.6224116086959839,0.06175970658659935,11,15,1656742430071,False,55220,Ethnicity (slicer) - Ethnicity: Group B selected,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.9203562140464783,0.37448030710220337,12,39,1656742505782,True,55245,Root,Year.Year<categorical>,nan
0.7161939740180969,0.1760946363210678,12,5,1656742511129,True,55245,Region (slicer) - Region: East selected,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>
0.6096178889274597,0.028664439916610718,12,15,1656742523183,True,55245,Ethnicity (slicer) - Ethnicity: Group B selected,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.6098582744598389,0.06882598996162415,12,15,1656742528795,True,55245,Year (slicer) - Year: 2012 selected,"Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.9203562140464783,0.37448030710220337,13,39,1656682831975,False,24529,Root,Year.Year<categorical>,nan
0.7161766290664673,0.176087886095047,13,5,1656682837547,False,24529,Region (slicer) - Region: East selected,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>
0.7114914655685425,0.17171648144721985,13,1,1656682840386,False,24529,Year (slicer) - deselected,Region.Region<categorical>,NewHiresByRegion.Region<categorical>
0.7059049010276794,0.16637520492076874,13,4,1656682842084,False,24529,Year (slicer) - Year: 2012 selected,"Region.Region<categorical>, Year.Year<categorical>",NewHiresByRegion.Region<categorical>
0.013181288726627827,0.34654223918914795,13,2,1656682846631,False,24529,New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan selected,"NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.015035939402878284,0.3657134175300598,13,1,1656682847497,False,24529,"New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb selected","NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.016152847558259964,0.37214717268943787,13,1,1656682847965,False,24529,"New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar selected","NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.012857415713369846,0.38387438654899597,13,1,1656682848650,False,24529,"New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr selected","NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.011647827923297882,0.3887498676776886,13,1,1656682849289,False,24529,"New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr, May selected","NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.009235162287950516,0.3941277861595154,13,2,1656682849717,False,24529,"New Hires and New Hires Same Period Last Year (SPLY) (clusteredColumnChart) - Month: Jan, Feb, Mar, Apr, May, Jun selected","NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, Region.Region<categorical>, Year.Year<categorical>","NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>"
0.9203562140464783,0.37448030710220337,14,39,1656682844989,False,105036,Root,Year.Year<categorical>,nan
0.9999998211860657,0.38372135162353516,14,10,1656682847447,False,105036,Ethnicity (slicer) - Ethnicity: Group B selected,"Ethnicity.Ethnicity<categorical>, Year.Year<categorical>",nan
