timestamp;user;triggeredAction;selectedValues;filteredValues;Ethnicity.Ethnicity[categorical];Region.Region[categorical];NewHiresAndNewHiresSamePeriodLastYear.Month[categorical];NewHiresAndNewHiresSamePeriodLastYear.NewHires[numerical];NewHiresAndNewHiresSamePeriodLastYear.NewHiresSPLY[numerical];NewHiresByMonth(Full-Time/Part-Time).Month[categorical];NewHiresByMonth(Full-Time/Part-Time).FPDesc[categorical];NewHiresByMonth(Full-Time/Part-Time).NewHires[numerical];NewHiresByEthnicity.Ethnicity[categorical];NewHiresByEthnicity.NewHires[numerical];NewHiresByRegion.Region[categorical];NewHiresByRegion.NewHires[numerical];Year.Year[categorical]
1654351528468;a083dbe1-af42-486e-89bf-a4ecdaad7193;Ethnicity (slicer) - Ethnicity: Group F selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByRegion.Regioncategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,0,1,0;1,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,1,2,3,7,2,4,14,10,6,11,2;2,4,1,3,2,1,5,4,6,5,3,2;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;;0,1,0,1,0,1,0,0,0,1,0,1,0,1;63;0,0,0,1,0,1,1,1,0,1,0,1,0,1;63;0,0,0,1,0,0,0
1654351529643;a083dbe1-af42-486e-89bf-a4ecdaad7193;New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group F selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByEthnicity.Ethnicitycategorical, Year.Yearcategorical;NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,0,1,0;1,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,1,2,3,7,2,4,14,10,6,11,2;2,4,1,3,2,1,5,4,6,5,3,2;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,1,2,3,1,6,2,4,14,1,9,6,1,10,2;0,1,0,1,0,1,1,0,0,1,0,1,0,1;63;0,0,0,1,0,1,0,1,0,1,0,1,0,1;63;0,0,0,1,0,0,0
1654351531939;a083dbe1-af42-486e-89bf-a4ecdaad7193;New Hires by Month (Full-Time/Part-Time) (lineChart) - Month: Sep, FPDesc: Full-Time selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, Year.Yearcategorical;NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,0,1,0;1,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,1,2,3,7,2,4,14,10,6,11,2;2,4,1,3,2,1,5,4,6,5,3,2;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0;1,0,0,0;1,1,2,3,1,6,2,4,14,1,9,6,1,10,2;0,1,0,1,0,1,0,0,0,1,0,1,0,1;63;0,0,0,1,0,1,0,1,0,1,0,1,0,1;63;0,0,0,1,0,0,0
1654351532953;a083dbe1-af42-486e-89bf-a4ecdaad7193;New Hires by Month (Full-Time/Part-Time) (lineChart) - deselected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, Year.Yearcategorical;NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,0,1,0;1,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,1,2,3,7,2,4,14,10,6,11,2;2,4,1,3,2,1,5,4,6,5,3,2;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,1,2,3,1,6,2,4,14,1,9,6,1,10,2;0,1,0,1,0,1,0,0,0,1,0,1,0,1;63;0,0,0,1,0,1,0,1,0,1,0,1,0,1;63;0,0,0,1,0,0,0
1654351535400;a083dbe1-af42-486e-89bf-a4ecdaad7193;Ethnicity (slicer) - deselected;Year.Yearcategorical;;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;0,0,0,0,0,0,0,0,0,0,0,0,0,0;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,1,0,0,0
1654351535955;a083dbe1-af42-486e-89bf-a4ecdaad7193;Region (slicer) - deselected;Ethnicity.Ethnicitycategorical, Year.Yearcategorical;NewHiresByEthnicity.Ethnicitycategorical;0,0,0,0,0,1,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;9,18,20,23,39,26,38,77,59,52,50,19;10,11,19,7,8,12,8,20,37,33,42,12;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,7,1,17,1,19,2,21,5,34,3,23,3,35,5,72,4,55,2,50,4,46,2,17;0,1,0,1,0,1,0,0,0,1,0,1,0,1;430;0,0,0,0,0,0,0,0,0,0,0,0,0,0;63,31,88,41,51,75,81;0,0,0,1,0,0,0
1654351537354;a083dbe1-af42-486e-89bf-a4ecdaad7193;Year (slicer) - deselected;;;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;217,1259,240,1833,318,2567,404,2837,435,3638,357,3930,311,3706,386,4569,366,4502,396,5006,330,3966,151,1396;0,0,0,0,0,0,0,0,0,0,0,0,0,0;30313,8236,1999,1516,790,213,53;0,0,0,0,0,0,0,0,0,0,0,0,0,0;7306,6228,7764,3434,7095,7103,4190;0,0,0,0,0,0,0
1654351540092;a083dbe1-af42-486e-89bf-a4ecdaad7193;Year (slicer) - Year: 2015 selected;Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;1476,2073,2885,3241,4073,4287,4017,4955,4868,5402,4296,1547;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;;0,0,0,0,0,0,0,0,0,0,0,0,0,0;30313,8236,1999,1516,790,213,53;0,0,0,0,0,0,0,0,0,0,0,0,0,0;7306,6228,7764,3434,7095,7103,4190;0,0,0,0,0,1,0
1654351542020;a083dbe1-af42-486e-89bf-a4ecdaad7193;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Oct selected;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;;774,1114,1246,1475,1986,2186,1961,2189,2212,2103,1461,366;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;;0,1,0,1,0,1,0,1,0,1,0,1,0,1;;0,1,0,1,0,1,0,1,0,1,0,1,0,1;;0,0,0,0,0,1,0
1654351543120;a083dbe1-af42-486e-89bf-a4ecdaad7193;Ethnicity (slicer) - Ethnicity: Group E selected;Ethnicity.Ethnicitycategorical, NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,1,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;;2,5,4,14,11,16,12,14,12,13,4,1;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;;0,1,0,1,0,1,0,1,0,1,0,1,0,1;;0,1,0,1,0,1,0,1,0,1,0,1,0,1;;0,0,0,0,0,1,0
1654351543979;a083dbe1-af42-486e-89bf-a4ecdaad7193;Region (slicer) - Region: Northwest selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,1,0,0;0,0,1,0,0,0,0;0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0;;3,1,1,5,2,2,3,1;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;;0,1,0,1,0,1,0,1,0,1,0,1,0,1;;0,1,0,1,0,1,0,1,0,1,0,1,0,1;;0,0,0,0,0,1,0
1654351545290;a083dbe1-af42-486e-89bf-a4ecdaad7193;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Dec selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,1,0,0;0,0,1,0,0,0,0;0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0;;3,1,1,5,2,2,3,1;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;;0,1,0,1,0,1,0,1,0,1,0,1,0,1;;0,1,0,1,0,1,0,1,0,1,0,1,0,1;;0,0,0,0,0,1,0
